question,option1,option2,option3,option4,correctAnswer
1955年に新劇戯曲賞として始まり、株式会社白水社が運営している戯曲賞は何か？,岸田國士戯曲賞,新人戯曲賞,せんだい短編戯曲賞,OMS戯曲賞,岸田國士戯曲賞
青年団に俳優として入団したのち、『自慢の息子』で岸田國士戯曲賞を受賞した劇作家の名前は？,野田秀樹,平田オリザ,松井周,岩井秀人,松井周
2017年に岸田國士戯曲賞を受賞した作品で、ヨーロッパ企画の上田誠さんが大阪・新世界を舞台に書いた作品は何?,トロワグロ,わが星,地獄谷温泉　無明ノ宿,来てけつかるべき新世界,来てけつかるべき新世界
第6回OMS戯曲賞対象を受賞した作品で、劇団MONOの土田英生さんが書いた作品はどれか？,その鉄塔に男たちはいるという,パノラマビールの夜,ともだちが来た,ＹＳ,その鉄塔に男たちはいるという
2009年に不慮の事故で亡くなった大竹野正典さんの作品で、第16回OMS戯曲賞大賞を受賞した作品はなにか？,魚の祭,海と日傘,東京ノート,山の声,山の声
『小鳥がさえずっている。木々のあいまから時折り姿を見せるそれは、淡いグリーンの色彩』というト書きで始まる、団地にある空き地に集まる人々の会話を描く第42回岸田國士戯曲賞受賞作は？,三月の５日間,うちやまつり,東京ノート,ぬけがら,うちやまつり
神里雄大さん作『バルパライソの長い坂をくだる話』と同時に第62回岸田國士戯曲賞を受賞した福原充則さんが書いた作品は？,ブレスレス　ゴミ袋を呼吸する夜の物語,あたらしいエクスプロージョン,バッコスの信女―ホルスタインの雌,前向き！タイモン,あたらしいエクスプロージョン
この中でまだ映画化されていない戯曲作品はどれ?,三月の５日間,鈍獣,トロワグロ,愛の渦,三月の５日間
野田秀樹さんの作品の中で第27回岸田國士戯曲賞を受賞した作品はどれ？,野獣降臨,オイル,贋作 桜の森の満開の下,半神,野獣降臨
岸田國士戯曲賞の前進である新劇戯曲賞の第一回目で佳作を受賞した作品はどれ?,畸型児,檻,壁画,ゴジラ,壁画
岸田國士戯曲賞を受賞した選択肢の作品のなかで最も古いものはどれ？,マッチ売りの少女,ある女,山山,ゲゲゲのげ,マッチ売りの少女
